task,team,user,is_user_with_correct_submission,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals
vbs23-kis-v1,CVHunter,1,0,1673259626784,13471,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip",
vbs23-kis-v1,CVHunter,1,0,1673259628298,14985,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip",
vbs23-kis-v1,CVHunter,0,0,1673259628480,15167,,inf,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on a stadion,
vbs23-kis-v1,CVHunter,0,0,1673259630309,16996,,inf,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on a stadion,
vbs23-kis-v1,CVHunter,1,0,1673259634686,21373,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american",
vbs23-kis-v1,CVHunter,1,0,1673259636275,22962,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american",
vbs23-kis-v1,CVHunter,0,0,1673259639949,26636,,2762.0,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259641754,28441,,2762.0,inf,inf,TEXT,JointEmbedding,CLIP: man making salto on an indoor hall,
vbs23-kis-v1,CVHunter,1,0,1673259649162,35849,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american shirt",
vbs23-kis-v1,CVHunter,1,0,1673259650584,37271,,inf,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american shirt",
vbs23-kis-v1,CVHunter,1,0,1673259657191,43878,,1241.0,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259658637,45324,,1241.0,inf,inf,TEXT,JointEmbedding,"CLIP: man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,0,0,1673259660733,47420,,576.0,inf,inf,TEXT,JointEmbedding,Temporal CLIP: man making salto on an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259663341,50028,,576.0,inf,inf,TEXT,JointEmbedding,Temporal CLIP: man making salto on an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,1,0,1673259666060,52747,,1172.0,8404.0,8404.0,TEXT,JointEmbedding,"CLIP: black man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259667464,54151,,1172.0,8404.0,8404.0,TEXT,JointEmbedding,"CLIP: black man in sport hall, backflip, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259676522,63209,,4257.0,inf,inf,IMAGE,JointEmbedding,14556:4540 : rows=True,
vbs23-kis-v1,CVHunter,1,0,1673259682958,69645,,inf,inf,inf,BROWSING,SimilarityDetailClose,14556:4540,1673259667464
vbs23-kis-v1,CVHunter,0,0,1673259685387,72074,,174.0,9614.0,9614.0,TEXT,JointEmbedding,Temporal CLIP: man in blue dress jumping in an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259687773,74460,,174.0,9614.0,9614.0,TEXT,JointEmbedding,Temporal CLIP: man in blue dress jumping in an indoor hall > man dancing in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259695006,81693,,887.0,887.0,887.0,TEXT,JointEmbedding,CLIP: man in blue dress jumping in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259696666,83353,,887.0,887.0,887.0,TEXT,JointEmbedding,CLIP: man in blue dress jumping in an indoor hall,
vbs23-kis-v1,CVHunter,0,0,1673259707437,94124,,665.0,665.0,665.0,TEXT,JointEmbedding,CLIP: man in blue dress jumping in an indoor hall in front of an audience,
vbs23-kis-v1,CVHunter,0,0,1673259709082,95769,,665.0,665.0,665.0,TEXT,JointEmbedding,CLIP: man in blue dress jumping in an indoor hall in front of an audience,
vbs23-kis-v1,CVHunter,1,0,1673259709881,96568,,850.0,2873.0,2873.0,IMAGE,JointEmbedding,15907:150509 : rows=True,
vbs23-kis-v1,CVHunter,1,0,1673259716262,102949,,inf,inf,inf,BROWSING,SimilarityDetailClose,15907:150509,1673259667464
vbs23-kis-v1,CVHunter,1,0,1673259725322,112009,,inf,inf,inf,IMAGE,JointEmbedding,13583:1513 : rows=True,
vbs23-kis-v1,CVHunter,1,0,1673259728930,115617,,inf,inf,inf,BROWSING,SimilarityDetailClose,13583:1513,1673259667464
vbs23-kis-v1,CVHunter,1,0,1673259738063,124750,,337.0,inf,inf,TEXT,JointEmbedding,"CLIP: black man in sport hall, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259739388,126075,,337.0,inf,inf,TEXT,JointEmbedding,"CLIP: black man in sport hall, american flag shirt",
vbs23-kis-v1,CVHunter,0,0,1673259743415,130102,,108.0,922.0,922.0,TEXT,JointEmbedding,Temporal CLIP: man in blue dress jumping in an indoor hall in front of an audience > camera filming in a sport hall,
vbs23-kis-v1,CVHunter,0,0,1673259745897,132584,,108.0,922.0,922.0,TEXT,JointEmbedding,Temporal CLIP: man in blue dress jumping in an indoor hall in front of an audience > camera filming in a sport hall,
vbs23-kis-v1,CVHunter,1,0,1673259759650,146337,,224.0,inf,inf,TEXT,JointEmbedding,"CLIP: black man in sport hall full of people, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259761185,147872,,224.0,inf,inf,TEXT,JointEmbedding,"CLIP: black man in sport hall full of people, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259772994,159681,,700.0,1975.0,1975.0,IMAGE,JointEmbedding,5494:41100 : rows=True,
vbs23-kis-v1,CVHunter,0,0,1673259787986,174673,,2571.0,inf,7858.0,TEXT,JointEmbedding,CLIP: basketball player making salto,
vbs23-kis-v1,CVHunter,0,0,1673259789733,176420,,2571.0,inf,7858.0,TEXT,JointEmbedding,CLIP: basketball player making salto,
vbs23-kis-v1,CVHunter,0,0,1673259822800,209487,,62.0,1054.0,1054.0,TEXT,JointEmbedding,CLIP: basketball player making salto in a sport hall with audience,
vbs23-kis-v1,CVHunter,0,0,1673259824539,211226,,62.0,1054.0,1054.0,TEXT,JointEmbedding,CLIP: basketball player making salto in a sport hall with audience,
vbs23-kis-v1,CVHunter,1,0,1673259829428,216115,,inf,inf,inf,BROWSING,SimilarityDetailClose,5494:41100,1673259761185
vbs23-kis-v1,CVHunter,0,0,1673259855464,242151,,125.0,1874.0,1874.0,IMAGE,feedbackModel,Bayes CLIP 7360:28844_10905:29123_16061:1875_9071:8944_16061:16125_14792:10092_13207:1794_7728:20675_10905:76588_16144:5688_| group:1|16144:3081_11493:29011_5494:22350_,
vbs23-kis-v1,CVHunter,1,0,1673259871734,258421,,129.0,inf,inf,TEXT,JointEmbedding,"CLIP: dancing men in sport hall full of people, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259873194,259881,,129.0,inf,inf,TEXT,JointEmbedding,"CLIP: dancing men in sport hall full of people, american flag shirt",
vbs23-kis-v1,CVHunter,0,0,1673259888670,275357,,21.0,339.0,339.0,TEXT,JointEmbedding,CLIP: basketball player in white dress making salto in a sport hall with audience,
vbs23-kis-v1,CVHunter,0,0,1673259890411,277098,,21.0,339.0,339.0,TEXT,JointEmbedding,CLIP: basketball player in white dress making salto in a sport hall with audience,
vbs23-kis-v1,CVHunter,1,0,1673259906497,293184,,576.0,inf,inf,TEXT,JointEmbedding,"CLIP: dancing men in sport hall, american flag shirt",
vbs23-kis-v1,CVHunter,1,0,1673259907777,294464,,576.0,inf,inf,TEXT,JointEmbedding,"CLIP: dancing men in sport hall, american flag shirt",
vbs23-kis-t1,CVHunter,1,1,1673260389659,16798,345478.0,11.0,306.0,207.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river,
vbs23-kis-t1,CVHunter,1,1,1673260391169,18308,345478.0,11.0,306.0,207.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river,
vbs23-kis-t1,CVHunter,0,0,1673260392327,19466,345478.0,18.0,522.0,125.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260393758,20897,345478.0,18.0,522.0,125.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260402970,30109,345478.0,inf,inf,inf,BROWSING,DetailWindowOpen,15022:6054,
vbs23-kis-t1,CVHunter,0,0,1673260406982,34121,345478.0,inf,inf,inf,BROWSING,DetailWindowClose,15022:6054,
vbs23-kis-t1,CVHunter,0,0,1673260409521,36660,345478.0,inf,inf,inf,BROWSING,DetailWindowOpen,15185:450,
vbs23-kis-t1,CVHunter,1,1,1673260410427,37566,345478.0,18.0,522.0,125.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,1,1,1673260411824,38963,345478.0,18.0,522.0,125.0,TEXT,JointEmbedding,CLIP: kids in kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260412871,40010,345478.0,inf,inf,inf,BROWSING,DetailWindowClose,15185:450,
vbs23-kis-t1,CVHunter,0,0,1673260425436,52575,345478.0,185.0,255.0,255.0,TEXT,JointEmbedding,Temporal CLIP: kids in kayaks on a river throwing paddles >coloured hoops,
vbs23-kis-t1,CVHunter,0,0,1673260427393,54532,345478.0,185.0,255.0,255.0,TEXT,JointEmbedding,Temporal CLIP: kids in kayaks on a river throwing paddles >coloured hoops,
vbs23-kis-t1,CVHunter,1,1,1673260433905,61044,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,3919:41628,
vbs23-kis-t1,CVHunter,1,1,1673260437853,64992,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,3919:41628,1673260411824
vbs23-kis-t1,CVHunter,0,0,1673260450068,77207,345478.0,89.0,459.0,459.0,TEXT,JointEmbedding,Temporal CLIP: kids in red kayaks on a river > throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260452053,79192,345478.0,89.0,459.0,459.0,TEXT,JointEmbedding,Temporal CLIP: kids in red kayaks on a river > throwing paddles,
vbs23-kis-t1,CVHunter,1,1,1673260465340,92479,345478.0,166.0,732.0,725.0,TEXT,JointEmbedding,CLIP: kids in red kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,1,1,1673260466602,93741,345478.0,166.0,732.0,725.0,TEXT,JointEmbedding,CLIP: kids in red kayaks on a river throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260470489,97628,345478.0,142.0,375.0,375.0,TEXT,JointEmbedding,Temporal CLIP: kids in red kayaks and red paddles on a river > throwing paddles,
vbs23-kis-t1,CVHunter,0,0,1673260473200,100339,345478.0,142.0,375.0,375.0,TEXT,JointEmbedding,Temporal CLIP: kids in red kayaks and red paddles on a river > throwing paddles,
vbs23-kis-t1,CVHunter,1,1,1673260474510,101649,345478.0,174.0,322.0,322.0,TEXT,JointEmbedding,CLIP: kids in red kayaks on a river,
vbs23-kis-t1,CVHunter,1,1,1673260475660,102799,345478.0,174.0,322.0,322.0,TEXT,JointEmbedding,CLIP: kids in red kayaks on a river,
vbs23-kis-t1,CVHunter,0,0,1673260510154,137293,345478.0,7.0,44.0,44.0,TEXT,JointEmbedding,Temporal CLIP: children in red kayaks and red paddles on a river > spectators on the river,
vbs23-kis-t1,CVHunter,0,0,1673260512193,139332,345478.0,7.0,44.0,44.0,TEXT,JointEmbedding,Temporal CLIP: children in red kayaks and red paddles on a river > spectators on the river,
vbs23-kis-t1,CVHunter,0,0,1673260514761,141900,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,15185:2602,
vbs23-kis-t1,CVHunter,0,0,1673260523160,150299,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,15185:2602,1673260512193.0
vbs23-kis-t1,CVHunter,0,0,1673260525021,152160,345478.0,inf,inf,inf,BROWSING,DetailWindowOpen,15185:2602,
vbs23-kis-t1,CVHunter,1,1,1673260526881,154020,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,11463:818,
vbs23-kis-t1,CVHunter,0,0,1673260537982,165121,345478.0,inf,inf,inf,BROWSING,DetailWindowClose,15185:2602,
vbs23-kis-t1,CVHunter,1,1,1673260539063,166202,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,11463:818,1673260475660
vbs23-kis-t1,CVHunter,1,1,1673260563282,190421,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,15005:3769,
vbs23-kis-t1,CVHunter,1,1,1673260566371,193510,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,15005:3769,1673260475660
vbs23-kis-t1,CVHunter,0,0,1673260570198,197337,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,15185:2602,
vbs23-kis-t1,CVHunter,1,1,1673260598163,225302,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,11463:3975,
vbs23-kis-t1,CVHunter,1,1,1673260600684,227823,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,11463:3975,1673260475660
vbs23-kis-t1,CVHunter,0,0,1673260601518,228657,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,15185:2602,1673260512193.0
vbs23-kis-t1,CVHunter,1,1,1673260608992,236131,345478.0,inf,inf,inf,BROWSING,TextSuggestionSelected,whirlpool,
vbs23-kis-t1,CVHunter,1,1,1673260611026,238165,345478.0,13.0,473.0,44.0,IMAGE,JointEmbedding,15524:7162 : rows=True,
vbs23-kis-t1,CVHunter,1,1,1673260616546,243685,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,15524:7712,
vbs23-kis-t1,CVHunter,1,1,1673260622632,249771,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,15524:7712,1673260611026
vbs23-kis-t1,CVHunter,0,0,1673260631228,258367,345478.0,148.0,201.0,201.0,IMAGE,feedbackModel,Temporal Bayes CLIP 15185:2572_15524:7862_6448:1975_9122:7638_11399:50837_15185:13500_13873:3944_15185:15630_6807:6593_13141:3812_| group:1|15185:2775_,
vbs23-kis-t1,CVHunter,0,0,1673260640408,267547,345478.0,inf,inf,inf,BROWSING,3P/Video,,
vbs23-kis-t1,CVHunter,1,1,1673260641311,268450,345478.0,1.0,38.0,38.0,IMAGE,JointEmbedding,13873:3369 : rows=True,
vbs23-kis-t1,CVHunter,1,1,1673260647039,274178,345478.0,1.0,561.0,53.0,IMAGE,JointEmbedding,13873:2438 : rows=True,
vbs23-kis-t1,CVHunter,0,0,1673260660074,287213,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,13873:3725,
vbs23-kis-t1,CVHunter,1,1,1673260667018,294157,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,7826:3794,
vbs23-kis-t1,CVHunter,0,0,1673260675469,302608,345478.0,inf,inf,inf,BROWSING,DetailWindowOpen,13873:3725,
vbs23-kis-t1,CVHunter,1,1,1673260677465,304604,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,7826:3794,1673260647039
vbs23-kis-t1,CVHunter,1,1,1673260696408,323547,345478.0,inf,inf,inf,BROWSING,VideoDetailOpen,13873:981,
vbs23-kis-t1,CVHunter,0,0,1673260700402,327541,345478.0,inf,inf,inf,BROWSING,DetailWindowClose,13873:3725,
vbs23-kis-t1,CVHunter,0,0,1673260703351,330490,345478.0,inf,inf,inf,BROWSING,VideoDetailClose,13873:3725,1673260631228.0
vbs23-kis-t1,CVHunter,0,0,1673260714667,341806,345478.0,18.0,107.0,107.0,IMAGE,feedbackModel,Temporal Bayes CLIP 15185:13672_11523:5331_15051:697_104:6668_15022:5672_7799:3551_6807:7043_12881:3758_1751:2913_12728:9494_| group:1|13873:3725_,
vbs23-kis-t1,CVHunter,1,1,1673260715143,342282,345478.0,inf,inf,inf,BROWSING,DetailWindowOpen,13873:1469,
vbs23-kis-t1,CVHunter,1,1,1673260718286,345425,345478.0,inf,inf,inf,BROWSING,DetailWindowClose,13873:1469,
vbs23-kis-t1,CVHunter,1,1,1673260718364,345503,345478.0,inf,inf,inf,SUBMIT,,?item=13872&frame=1481&session=node0ncp3v4rmms401wddfckpfb4w7912,"{""submission"":""CORRECT"" ""description"":""Submission correct!"" ""status"":true}"
vbs23-kis-t2,CVHunter,1,1,1673260918551,21907,102992.0,4.0,4.0,4.0,TEXT,JointEmbedding,CLIP: kids with glue and egg carton,
vbs23-kis-t2,CVHunter,0,0,1673260919101,22457,102992.0,949.0,949.0,949.0,TEXT,JointEmbedding,Temporal CLIP: hands of a kid applying glue to an carton > carton sculpture,
vbs23-kis-t2,CVHunter,1,1,1673260919945,23301,102992.0,4.0,4.0,4.0,TEXT,JointEmbedding,CLIP: kids with glue and egg carton,
vbs23-kis-t2,CVHunter,0,0,1673260921111,24467,102992.0,949.0,949.0,949.0,TEXT,JointEmbedding,Temporal CLIP: hands of a kid applying glue to an carton > carton sculpture,
vbs23-kis-t2,CVHunter,0,0,1673260932653,36009,102992.0,inf,inf,inf,BROWSING,DetailWindowOpen,5877:1116,
vbs23-kis-t2,CVHunter,1,1,1673260937745,41101,102992.0,227.0,227.0,227.0,IMAGE,JointEmbedding,3562:2369 : rows=True,
vbs23-kis-t2,CVHunter,1,1,1673260943781,47137,102992.0,inf,inf,inf,BROWSING,SimilarityDetailClose,3562:2369,1673260919945
vbs23-kis-t2,CVHunter,0,0,1673260949724,53080,102992.0,inf,inf,inf,BROWSING,DetailWindowClose,5877:1116,
vbs23-kis-t2,CVHunter,1,1,1673260949862,53218,102992.0,inf,inf,inf,BROWSING,DetailWindowOpen,3358:8469,
vbs23-kis-t2,CVHunter,1,1,1673260953120,56476,102992.0,inf,inf,inf,BROWSING,DetailWindowClose,3358:8469,
vbs23-kis-t2,CVHunter,1,1,1673260967613,70969,102992.0,227.0,227.0,227.0,IMAGE,JointEmbedding,3562:2369 : rows=True,
vbs23-kis-t2,CVHunter,1,1,1673260970256,73612,102992.0,inf,inf,inf,BROWSING,SimilarityDetailClose,3562:2369,1673260919945
vbs23-kis-t2,CVHunter,0,0,1673260971286,74642,102992.0,328.0,328.0,328.0,TEXT,JointEmbedding,Temporal CLIP: hands of a kid applying glue to an egg carton > carton sculpture,
vbs23-kis-t2,CVHunter,0,0,1673260973409,76765,102992.0,328.0,328.0,328.0,TEXT,JointEmbedding,Temporal CLIP: hands of a kid applying glue to an egg carton > carton sculpture,
vbs23-kis-t2,CVHunter,1,1,1673260974314,77670,102992.0,inf,inf,inf,BROWSING,VideoDetailOpen,13063:3588,
vbs23-kis-t2,CVHunter,1,1,1673260979842,83198,102992.0,inf,inf,inf,BROWSING,VideoDetailClose,13063:3588,1673260919945
vbs23-kis-t2,CVHunter,1,1,1673260981518,84874,102992.0,inf,inf,inf,BROWSING,VideoDetailOpen,13063:3588,
vbs23-kis-t2,CVHunter,1,1,1673260998270,101626,102992.0,inf,inf,inf,BROWSING,DetailWindowOpen,13063:3650,
vbs23-kis-t2,CVHunter,1,1,1673260999585,102941,102992.0,inf,inf,inf,BROWSING,DetailWindowClose,13063:3650,
vbs23-kis-t2,CVHunter,1,1,1673260999671,103027,102992.0,inf,inf,inf,SUBMIT,,?item=13062&frame=3650&session=node0ncp3v4rmms401wddfckpfb4w7912,"{""submission"":""CORRECT"" ""description"":""Submission correct!"" ""status"":true}"
vbs23-kis-t3,CVHunter,1,0,1673261414916,13617,,142.0,142.0,142.0,TEXT,JointEmbedding,CLIP: glass roof of a lift,
vbs23-kis-t3,CVHunter,1,0,1673261416282,14983,,142.0,142.0,142.0,TEXT,JointEmbedding,CLIP: glass roof of a lift,
vbs23-kis-t3,CVHunter,0,0,1673261417238,15939,,68.0,68.0,68.0,TEXT,JointEmbedding,CLIP: a view through the glass roof of a lift,
vbs23-kis-t3,CVHunter,0,0,1673261418716,17417,,68.0,68.0,68.0,TEXT,JointEmbedding,CLIP: a view through the glass roof of a lift,
vbs23-kis-t3,CVHunter,1,0,1673261424854,23555,,133.0,133.0,133.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin upwards,
vbs23-kis-t3,CVHunter,1,0,1673261426471,25172,,133.0,133.0,133.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin upwards,
vbs23-kis-t3,CVHunter,0,0,1673261431166,29867,,inf,inf,inf,BROWSING,VideoDetailOpen,16401:1862,
vbs23-kis-t3,CVHunter,0,0,1673261437048,35749,,inf,inf,inf,BROWSING,VideoDetailClose,16401:1862,1673261418716.0
vbs23-kis-t3,CVHunter,0,0,1673261438894,37595,,inf,inf,inf,BROWSING,DetailWindowOpen,16401:1862,
vbs23-kis-t3,CVHunter,0,0,1673261444301,43002,,inf,inf,inf,BROWSING,DetailWindowClose,16401:1862,
vbs23-kis-t3,CVHunter,0,0,1673261447813,46514,,inf,inf,inf,BROWSING,DetailWindowOpen,15007:1500,
vbs23-kis-t3,CVHunter,0,0,1673261449494,48195,,inf,inf,inf,BROWSING,DetailWindowClose,15007:1500,
vbs23-kis-t3,CVHunter,0,0,1673261455909,54610,,inf,inf,inf,BROWSING,DetailWindowOpen,628:4953,
vbs23-kis-t3,CVHunter,1,0,1673261456295,54996,,128.0,128.0,128.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin,
vbs23-kis-t3,CVHunter,1,0,1673261457724,56425,,128.0,128.0,128.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin,
vbs23-kis-t3,CVHunter,0,0,1673261459339,58040,,inf,inf,inf,BROWSING,DetailWindowClose,628:4953,
vbs23-kis-t3,CVHunter,0,0,1673261460793,59494,,inf,inf,inf,BROWSING,DetailWindowOpen,14480:12269,
vbs23-kis-t3,CVHunter,0,0,1673261464302,63003,,inf,inf,inf,BROWSING,DetailWindowClose,14480:12269,
vbs23-kis-t3,CVHunter,0,0,1673261479115,77816,,inf,inf,inf,BROWSING,DetailWindowOpen,8876:6976,
vbs23-kis-t3,CVHunter,1,0,1673261482603,81304,,inf,inf,inf,IMAGE,JointEmbedding,14832:4795 : rows=True,
vbs23-kis-t3,CVHunter,0,0,1673261483315,82016,,inf,inf,inf,BROWSING,DetailWindowClose,8876:6976,
vbs23-kis-t3,CVHunter,0,0,1673261486791,85492,,inf,inf,inf,BROWSING,DetailWindowOpen,11322:11588,
vbs23-kis-t3,CVHunter,1,0,1673261486941,85642,,inf,inf,inf,BROWSING,SimilarityDetailClose,14832:4795,1673261457724
vbs23-kis-t3,CVHunter,1,0,1673261491463,90164,,85.0,85.0,85.0,IMAGE,JointEmbedding,628:4773 : rows=True,
vbs23-kis-t3,CVHunter,1,0,1673261497636,96337,,inf,inf,inf,BROWSING,SimilarityDetailClose,628:4773,1673261457724
vbs23-kis-t3,CVHunter,0,0,1673261499538,98239,,inf,inf,inf,BROWSING,DetailWindowClose,11322:11588,
vbs23-kis-t3,CVHunter,0,0,1673261504315,103016,,inf,inf,inf,BROWSING,DetailWindowOpen,269:7680,
vbs23-kis-t3,CVHunter,1,0,1673261504727,103428,,1342.0,1342.0,1342.0,IMAGE,JointEmbedding,16432:1221 : rows=True,
vbs23-kis-t3,CVHunter,0,0,1673261508269,106970,,inf,inf,inf,BROWSING,DetailWindowClose,269:7680,
vbs23-kis-t3,CVHunter,1,0,1673261514605,113306,,inf,inf,inf,BROWSING,SimilarityDetailClose,16432:1221,1673261457724
vbs23-kis-t3,CVHunter,0,0,1673261514765,113466,,inf,inf,inf,BROWSING,DetailWindowOpen,14480:12312,
vbs23-kis-t3,CVHunter,0,0,1673261516686,115387,,inf,inf,inf,BROWSING,DetailWindowClose,14480:12312,
vbs23-kis-t3,CVHunter,0,0,1673261519063,117764,,inf,inf,inf,BROWSING,3P/Video,,
vbs23-kis-t3,CVHunter,0,0,1673261541376,140077,,102.0,102.0,102.0,TEXT,JointEmbedding,CLIP: a view through the glass roof of a lift. vires of the lift visible,
vbs23-kis-t3,CVHunter,0,0,1673261544188,142889,,102.0,102.0,102.0,TEXT,JointEmbedding,CLIP: a view through the glass roof of a lift. vires of the lift visible,
vbs23-kis-t3,CVHunter,0,0,1673261546301,145002,,inf,inf,inf,BROWSING,DetailWindowOpen,12288:5005,
vbs23-kis-t3,CVHunter,0,0,1673261548800,147501,,inf,inf,inf,BROWSING,DetailWindowClose,12288:5005,
vbs23-kis-t3,CVHunter,0,0,1673261550405,149106,,inf,inf,inf,BROWSING,DetailWindowOpen,6963:5606,
vbs23-kis-t3,CVHunter,0,0,1673261554242,152943,,inf,inf,inf,BROWSING,DetailWindowClose,6963:5606,
vbs23-kis-t3,CVHunter,0,0,1673261556949,155650,,inf,inf,inf,BROWSING,DetailWindowOpen,8476:36,
vbs23-kis-t3,CVHunter,0,0,1673261558637,157338,,inf,inf,inf,BROWSING,DetailWindowClose,8476:36,
vbs23-kis-t3,CVHunter,0,0,1673261562951,161652,,inf,inf,inf,BROWSING,DetailWindowOpen,17068:8044,
vbs23-kis-t3,CVHunter,0,0,1673261564751,163452,,inf,inf,inf,BROWSING,DetailWindowClose,17068:8044,
vbs23-kis-t3,CVHunter,1,0,1673261565297,163998,,86.0,86.0,86.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin eith another glass lift,
vbs23-kis-t3,CVHunter,1,0,1673261566879,165580,,86.0,86.0,86.0,TEXT,JointEmbedding,CLIP: glass roof of a lift cabin eith another glass lift,
vbs23-kis-t3,CVHunter,0,0,1673261575691,174392,,inf,inf,inf,TEXT,JointEmbedding,CLIP: looking from a lift up,
vbs23-kis-t3,CVHunter,0,0,1673261577375,176076,,inf,inf,inf,TEXT,JointEmbedding,CLIP: looking from a lift up,
vbs23-kis-t3,CVHunter,0,0,1673261590501,189202,,989.0,1342.0,1342.0,TEXT,JointEmbedding,CLIP: elevator going up view through the roof,
vbs23-kis-t3,CVHunter,1,0,1673261590684,189385,,176.0,176.0,176.0,TEXT,JointEmbedding,CLIP: glass roof of a elevator eith another glass lift,
vbs23-kis-t3,CVHunter,1,0,1673261591975,190676,,176.0,176.0,176.0,TEXT,JointEmbedding,CLIP: glass roof of a elevator eith another glass lift,
vbs23-kis-t3,CVHunter,0,0,1673261592254,190955,,989.0,1342.0,1342.0,TEXT,JointEmbedding,CLIP: elevator going up view through the roof,
vbs23-kis-t3,CVHunter,0,0,1673261594143,192844,,inf,inf,inf,BROWSING,DetailWindowOpen,2804:581,
