task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,max_rank
vbs23-kis-v1,vitrivr-VR,0,1673259638599,30286,171058.0,inf,inf,inf,mlclip,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259676512,68199,171058.0,4441.0,inf,inf,visualtextcoembedding,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,1,1673259678971,70658,171058.0,inf,inf,inf,mlclip,TEXT,man in blue shirt doing backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259716531,108218,171058.0,74.0,834.0,834.0,mlclip,TEXT,man wearing american flag in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259745302,136989,171058.0,62.0,189.0,189.0,mlclip,TEXT,a man in a white shirt and blue pants dancing in a sports hall,,
vbs23-kis-t1,vitrivr-VR,0,1673260399966,32105,213029.0,3.0,7.0,7.0,mlclip,TEXT,children en cayaks in a river throwing paddles,,
vbs23-kis-t1,vitrivr-VR,1,1673260403786,35925,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260407137,39276,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260419456,51595,213029.0,7.0,7.0,7.0,mlclip,TEXT,children in kayaks on the river,,
vbs23-kis-t1,vitrivr-VR,0,1673260457449,89588,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260468105,100244,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260496750,128889,213029.0,inf,inf,inf,mlclip,TEXT, with hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260516184,148323,213029.0,16.0,123.0,123.0,mlclip,TEXT, kayaks with hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260542021,174160,213029.0,11.0,11.0,11.0,mlclip,TEXT,children in red cayaks with red paddles,,
vbs23-kis-t3,vitrivr-VR,0,1673261440808,44509,93212.0,4.0,inf,inf,mlclip,TEXT,looking up through a glass lift roof,,
vbs23-kis-t3,vitrivr-VR,0,1673261459409,63110,93212.0,51.0,inf,inf,mlclip,TEXT,the glass roof of an elevator,,
vbs23-kis-t3,vitrivr-VR,1,1673261485188,88889,93212.0,981.0,inf,inf,mlclip,TEXT,glass  elevator,,
vbs23-kis-t5,vitrivr-VR,0,1673262879500,57888,178934.0,inf,inf,inf,mlclip,TEXT,party grouped around bride and groom > guests following the bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262883410,61798,178934.0,1865.0,inf,inf,mlclip,TEXT,wedding party,,
vbs23-kis-t5,vitrivr-VR,1,1673262921973,100361,178934.0,1117.0,inf,inf,mlclip,TEXT,wedding party > bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262938413,116801,178934.0,104.0,inf,inf,mlclip,TEXT,wedding party > bride with blue flowers and groom,,
vbs23-kis-t5,vitrivr-VR,0,1673262949421,127809,178934.0,1207.0,inf,inf,mlclip,TEXT,guests following the bride and groom,,
vbs23-kis-t5,vitrivr-VR,1,1673262956695,135083,178934.0,3.0,inf,inf,mlclip,TEXT,bride with blue flowers and groom,,
vbs23-kis-t5,vitrivr-VR,0,1673262994555,172943,178934.0,179.0,inf,inf,mlclip,TEXT,a bride wearing a blue bow around her waist > guests following the bride and groom,,
vbs23-kis-t6,vitrivr-VR,0,1673264197574,39200,53439.0,3.0,4.0,4.0,mlclip,TEXT,a train passing behind tombstones,,
vbs23-kis-v-m1,vitrivr-VR,0,1673270888331,18476,37829.0,105.0,105.0,105.0,mlclip,TEXT,a ship wreck with fish,,
vbs23-kis-v-m1,vitrivr-VR,1,1673270890189,20334,37829.0,99.0,128.0,128.0,mlclip,TEXT,a shipwreck with fish,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271265163,19801,269657.0,97.0,97.0,97.0,mlclip,TEXT,a diver in the yellow vest,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271312753,67391,269657.0,261.0,959.0,959.0,mlclip,TEXT,a divers surounded by bubbles,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271391069,145707,269657.0,261.0,959.0,959.0,mlclip,TEXT,a divers surounded by bubbles,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271411198,165836,269657.0,12.0,12.0,12.0,mlclip,TEXT,a diver in a yellow vest on a line,,
vbs23-kis-v-m2,vitrivr-VR,1,1673271415768,170406,269657.0,inf,inf,inf,mlclip,TEXT,a diver in the corals,,
vbs23-kis-v-m2,vitrivr-VR,1,1673271483762,238400,269657.0,829.0,1360.0,1360.0,mlclip,TEXT,a diver in the corals,,
vbs23-kis-v-m2,vitrivr-VR,0,1673271487372,242010,269657.0,29.0,29.0,29.0,mlclip,TEXT,a diver with bubbles near a cliff,,
vbs23-kis-v-m3,vitrivr-VR,0,1673271650647,31990,62446.0,199.0,739.0,739.0,mlclip,TEXT,a mora in the corals,,
vbs23-kis-v-m3,vitrivr-VR,0,1673271662179,43522,62446.0,576.0,1963.0,1963.0,mlclip,TEXT,a mora in the  white rocks,,
vbs23-kis-v-m3,vitrivr-VR,1,1673271663710,45053,62446.0,49.0,135.0,135.0,mlclip,TEXT,white corals and sea snake,,
vbs23-kis-v-m4,vitrivr-VR,1,1673272404704,36519,265021.0,2799.0,2799.0,2799.0,mlclip,TEXT,a school of fish in the flat corrals,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272406171,37986,265021.0,764.0,1201.0,1201.0,mlclip,TEXT,flat reddish  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,1,1673272426063,57878,265021.0,3419.0,3419.0,3419.0,mlclip,TEXT,a small school of fish in the flat corrals,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272439088,70903,265021.0,323.0,1872.0,1872.0,mlclip,TEXT,flat  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272448555,80370,265021.0,323.0,1872.0,1872.0,mlclip,TEXT,flat  corals and a group of fish,,
vbs23-kis-v-m4,vitrivr-VR,0,1673272587997,219812,265021.0,171.0,1447.0,1447.0,mlclip,TEXT,flat  corals and a group of small black fish,,
vbs23-kis-v-m5,vitrivr-VR,1,1673272780662,32372,102101.0,1125.0,1125.0,1125.0,mlclip,TEXT,a diver under the water,,
vbs23-kis-v-m5,vitrivr-VR,0,1673272790077,41787,102101.0,1420.0,1420.0,1420.0,mlclip,TEXT,a diver looking up,,
vbs23-kis-v-m5,vitrivr-VR,0,1673272819252,70962,102101.0,546.0,546.0,546.0,mlclip,TEXT,a diver leaning back,,
vbs23-kis-v-m7,vitrivr-VR,0,1673273138470,21102,25607.0,1.0,1.0,1.0,mlclip,TEXT,a star fish a cone of light,,
vbs23-kis-v2,vitrivr-VR,0,1673276030943,39795,96723.0,409.0,inf,inf,mlclip,TEXT, brown haired woman in front of a lamp,,
vbs23-kis-v2,vitrivr-VR,1,1673276035483,44335,96723.0,143.0,inf,inf,mlclip,TEXT,woman applying hairspray,,
vbs23-kis-v2,vitrivr-VR,0,1673276057491,66343,96723.0,603.0,inf,inf,mlclip,TEXT, brown haired woman in front of a yellow lamp,,
vbs23-kis-v2,vitrivr-VR,0,1673276087410,96262,96723.0,1403.0,inf,inf,mlclip,TEXT,smiling woman in front of a yellow lamp,,
vbs23-kis-v3,vitrivr-VR,0,1673276437954,36083,39212.0,37.0,inf,inf,mlclip,TEXT,a woman with a surgical face masks,,
vbs23-kis-v3,vitrivr-VR,1,1673276439988,38117,39212.0,32.0,inf,inf,mlclip,TEXT, woman wearing out white mask,,
vbs23-kis-v4,vitrivr-VR,0,1673277195346,23133,126341.0,22.0,inf,inf,mlclip,TEXT,a group of children clapping,,
vbs23-kis-v4,vitrivr-VR,1,1673277214954,42741,126341.0,84.0,inf,inf,mlclip,TEXT, group of children on stage,,
vbs23-kis-v4,vitrivr-VR,0,1673277232649,60436,126341.0,30.0,inf,inf,mlclip,TEXT,a group of children clapping vertically,,
vbs23-kis-v4,vitrivr-VR,0,1673277295876,123663,126341.0,3.0,inf,inf,mlclip,TEXT,children on a colorful stage moving their hands,,
vbs23-kis-t7,vitrivr-VR,0,1673277570696,44162,87601.0,2.0,inf,inf,mlclip,TEXT,the bearded man in the cyan shirt climbing boulder,,
vbs23-kis-t7,vitrivr-VR,1,1673277585804,59270,87601.0,7.0,inf,inf,mlclip,TEXT,beardedman in a blue  shirt climbing,,
vbs23-kis-v5,vitrivr-VR,0,1673278572434,31193,47140.0,37.0,inf,inf,mlclip,TEXT,aerial shot of river in white sand,,
vbs23-kis-v5,vitrivr-VR,1,1673278587109,45868,47140.0,146.0,inf,inf,mlclip,TEXT,riverbed and white ,,
